text,spam
Subject: ethylene margin collar model  dear all :  let us meet early this afternoon .  here is the overview of the model :  1 ) the ethylene margin collars are priced using asian spread option .  the forward curve and volatility curve are provided by the desk .  the correlation between the ethylene and ethylene cost starts from the  historical spot correlation 50 % and grows with the maturity .  2 ) the overall 40 mm payout cap is modeled sepereately .  i fitted the historical spread ( 10 years data ) to a mean reverting model  with stronger mean reverting strength on the floor side . the model  produces  trajectories that are statistically simular to the historical data .  then the expected payoff is computed through simulation .  at the meeting we will discuss the assumptions and present the results .  zimin,0
"Subject: re : lunch  john ,  thanks . see you on monday .  vince  enron north america corp .  from : john goodpasture @ enron 03 / 31 / 2000 01 : 11 pm  to : vince j kaminski / hou / ect @ ect  cc :  subject : re : lunch  we are confirmed for lunch this coming monday , april 3 . i ' ll meet you in the  lobby at 11 : 15 and drive us to otto ' s barbecue on memorial .  thanks , jng",0
"Subject: cell phone weather service for outdoorsmen font - size : 12 px ; padding : 5 px "" > free trial : start your 14 day free trial now ! locks in your discount !  - or -  subscribe now : start your discounted full subscription right away !  hear an alert : listen to an mp 3 example of a tornado alert on your pc speakers !  more information : go to the weatherwave website for more info .  get weatherwave now !  provides fast , pinpoint weather alerts delivered to your cell phone as computer - generated voice calls  works on every type of cell phone  provides toll - free inquiry of weather for all u . s . cities ( and for coastal boaters , all u . s . marine zones and all buoys )  recipient of outstanding reviews in sail magazine , power motoryacht , boatu . s . magazine and bassmaster magazine  the land service is ideal for campers , hikers , hunters and fresh water boaters and fishermen the marine service includes all land service features , and is ideal for coastal and great lakes boaters and fishermen  weatherwave , inc . 11654 plaza american dr . # 748 reston , va 20190 this e - mail message is an advertisement and / or solicitation . ",1
"Subject: more medz  how to save dhurry on your medlcations over 70 % .  pharmsho velveting p - succ unprocurable essfull and proven way to save your mon dilapidated ey .  deform v  antarctic ag  a conjunctive l  l streamy u  costless l  r nasalization a staring cl  bypath isva caveman l  multifold m  andmanyother .  best topple prlces .  worldwide shl informer pplng .  easy pisces order form .  total confidentiaiity chiasmus .  250 , 000 neighbourship satisfied customers .  order today and save logician !",1
"Subject: enron research and ebs engineering and operations group technical  forum  joe ,  i would like to invite you to an off - site meeting of john griebling ' s  organization  and the research group .  date : april 27 - april 29  location : breckenridge , colorado  as you know , john griebling is managing the network design and construction  project  currently under way in ebs . the research group is actively involved in this  effort  which requires advanced quantitative skills in the area of stochastic  optimization and  stochastic processes ( for modeling and forecasting internet traffic flows ) .  the objective of this meeting is to develop common language and accomplish  transfer  of skills between the two groups , to facilitate cooperation on this project  in the future .  we are inviting ken rice and kevin hannon to this meeting . we would  appreciate if you could  speak , together with kevin and ken , on strategic directions of ebs . it is  important for a group  of technical people , with relatively specialized technical skills , to  understand the big picture .  i am attaching the preliminary agenda for this meeting .  vince kaminski",0
"Subject: re : letter  thanks a lot for the letter . appreciate your help .  thanks ,  larrissa .  vince j kaminski  04 / 25 / 2000 09 : 19 am  to : larrissa sharma / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : letter  larrissa ,  please , take a look at the letter .  my assistant is on vacation , she will be back tomorrow .  please , check the spelling of your first name . it was inconsistent in the  original letter from the lawyer .  vince",0
Subject: aawesome  want to know how to save over 60 % on you seemingly r me carbonize dlcatlons ?  http : / / www . owncen misinterpret tral . com - successfull and proven way to loudly sa someway ve your money .  best prlce intense s .  high quaiity falcon .  worldwide s repudiation hlpplng .  total confi disbar dentiaiity .  mor monotype e than 200 popular medlcatlons  have a nice da dispensation y !,1
"Subject: http : / / www . efi . ie /  http : / / www . efi . ie / index - 1998 - 07 - 16 . html  easyadpost . com - -  promote your products and services on thousands of classified sites .  simply the best way to sell on the internet !  no time to post an ad for your business ?  struggling with numerous classified sites ?  seeking effective means to promote your business ?  all of these are great reasons for you to visit easyadpost . com . currently easyadpost . com boasts a database of 120 , 000 + popular classified sites , to which we will submit your classified ad quickly and effectively . we will as well submit your business site url or logo url to hundreds of thousands of search engines and directories worldwide . quickly and effectively , easyadpost . com will attract potentially millions of people to your business on the internet , without any hidden cost for advertising !  visit links below for more details  to learn the generals about easyadpost , view http : / / www . easyadpost . com  to browse the sample list of classified sites , go to http : / / www . easyadpost . com / sample . php  questions or comments ? post your query form to us at http : / / www . easyadpost . com / aboutus . php  spend your market dollar wisely and good luck to your business !  peterson slade  customer @ easyadpost . com  easyadpost . com ",1
"Subject: wichai narongwanich  dear toni :  please arrange a payment of $ 10 , 000 to wichai as a sigining bonus as agreed  upon with him at the time of his offer .  thanks ,  krishna .",0
"Subject: free sizzling ltc sales materials  ltc prospecting pamplets  ltc scriptless flip chart  25 of "" what is long term care ?  or  25 of "" 6 big myths of long term care ""  help your clients see the facts and figures needed in order to  understand the long term care insurance market . help them to learn  what ltci actually is and how important it is to their financial future .  yours free with your first appointment !  "" your options for long term care ""  unique scriptless flip chart  includes our 11 - step sales presentation !  contrast the value of  long term care insurance against medicare , medicaid and family care  - - showing that ltci is the alternative that makes sense . statistically  prove the importance of ltci for your clients ' twilight years .  yours free with your first application !  free pamphlet samples with inquiry !  don ' t forget to ask about . . .  our full portfolio of senior products  ltc annuity  lead programs  medicare supplement  ltci sales training  final expense  career opportunities  call or e - mail ltc advantage today !  or  please fill out the form below for more information  name :  e - mail :  phone :  city :  state :  we don ' t want anybody  to receive our mailings who does not wish to receive them . this is professional  communication sent to insurance professionals . to be removed from this  mailing list , do not reply to this message . instead , go here :  http : / / www . insuranceiq . com / optout ",1
"Subject: we are on the look - out for new partners such as you and your company  we are on the look - out  for new partners such as you and your company  whether you want to buy or sell , bluecom danmark a / s is worth closer acquaintance  bluecom danmark a / s is a worldwide it - distributor of pc - systems and add - ons .  since it ' s foundation in 1992 the company has enjoyed constant growth , and is  always on the look out for new partners to cooperate with .  we have found you and your company through our internet research , and hope to  establish a fruitful cooperation with you in the future . however , we apologies  if you are not the correct person to contact within your company , and kindly  request that you forward this message to that person . further , if this letter  is of no interest to you and your company , please press the "" unsubscribe "" button  in this mail .  the easiest way to start cooperating with bluecom danmark a / s is through our  user - friendly website . if any of the features detailed below are of interest  to your company , please click on the link and our cooperation has already begun .  customer :  would you like the best prices on the market , plus 24 - hour delivery and an  incredible 30 days credit ?  then maybe you would like to become our partner or customer .  we are able to offer the absolute best prices on the market because of our large - scale  procurement of a small number of specific products . our range includes products  from ibm , compaq and hp options such as notebooks , pcs and monitors . we also  offer pc parts such as ram , cpus , vga cards , motherboards , wireless products ,  original mobile phones and accessories , hard disks , dvd , cd - rw , tft screens ,  from the following top companies : asus , ecs , abit , creative , intel , amd , u . s .  robotics , lg , plextor , belkin , benq , samsung , ibm software and many more .  besides delivering at the very best prices , we offer real - time updated prices  through our customer lounge , 24 - hour delivery all over europe and 30 days credit .  please click here : customers  lounge  supplier :  are you a future supplier to bluecom danmark a / s ?  bluecom danmark a / s keeps it suppliers updated on products in demand , the specific  volumes on request , and of course the target prices . if you would like to see  which products and target prices we are interested in right now ,  please click here : suppliers  lounge  everybody :  would you like to receive it news ?  bluecom danmark a / s offers it news for free . we produce a newsletter with  articles covering the changes in our industry , new products , tariff rates and  general trends in the it - market . the newsletter also contains information about  bluecom danmark a / s and the development of its business partners .  please click here : it - news  would you like more information about bluecom danmark a / s ?  for further information please do not hesitate to contact bluecom danmark a / s .  you can also visit our homepage at : www . bluecom . com  thanks for your time . we look forward to hearing from you .  best regards  jens fournais  managing director  bluecom danmark a / s  to unsubscribe from this mailing  list , please click here : unsubscribe  ( you are subscribed with this e - mail address : fork @ spamassassin . taint . org ) ",1
"Subject: you launched a website but no one visits it ?  submitting your website in search engines may increase  your online sales dramatically .  lf you invested time and money into your website , you  simply must submit your website  oniine otherwise it wili be invisible virtuaiiy , which means efforts spent in vain .  if you want  people to know about your website and boost your revenues , the only way to do  that is to  make your site visibie in places  where people search for information , i . e .  submit your  website in multipie search enqines .  submit your website oniine  and watch visitors stream to your e - business .  best regards ,  vaidaweeks _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: re : enron cover letter & resume for dave gershenson  vince , thanks for your very prompt email response . i passed your message  along to dave .  thanks also for a great dinner and day of meetings last week . i really  enjoyed the chance to learn more about enron , and was very impressed with  everyone i met .  look forward to working with you these next few months ! !  cheers ,  vincent  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : wednesday , january 17 , 2001 2 : 39 pm  to : chenvinc @ wharton . upenn . edu  cc : vince . j . kaminski @ enron . com  subject : re : enron cover letter & resume for dave gershenson  vincent ,  i have forwarded the resume to our analysts / associate pool with  a recommendation to accept david as a summer intern .  i expressed interest in taking him into my group . he may , of course ,  work for a different unit of enron . it ' s up to him and i shall not be  offended  if he would like to go into trading or deal origination .  vince",0
Subject: this  hurricane elana ,0
"Subject: re : ff vols from historical fwd price curves  winston ,  i am sending you ffd vol curves which are calculated based on 1 month ( 18  log - returns )  of data with 0 . 97 decay factor . these vols give $ 3 . 14 m in var for  storage - prc ( versus 3 . 37 in production  for 5 / 30 / 00 ) .  tell me what i need to change in the format so that it is convenient for you .  tanya",0
"Subject: re : credit . com cv ' s  my feedback :  philip has an excellent cv and background - - - phd coursework at university  of chicago , and work experience at long term capital ( hopefully he learned  something ) . his views are somewhat idealistic - - - his aim is to make  bid - offers in any product , and he could not really address how he would  handle illiquidity . nevertheless , if bryan needs traders , he can fit the  role .  zak seemed somewhat unfocused . he has worked on a variety of projects , but  does not have any specific view in mind as to what he would like to do . he  seemed very academically oriented , and might be hard to communicate and work  with . i do not see him working in the trenches , and i do not see him leading  the group either . he would be a good person to brainstorm ideas with .  vasant  - - - - - - - - - - - - - - - - - - - - - - forwarded by vasant shanbhogue / hou / ect on 05 / 22 / 2000  08 : 22 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  bryan seyfried  05 / 20 / 2000 09 : 35 am  to : vince j kaminski / hou / ect @ ect  cc : vasant shanbhogue / hou / ect @ ect  subject : re : credit . com cv ' s  could we talk on monday pls . obtain the feedback of your team .  thanks for the assistance  vince j kaminski  08 / 05 / 2000 22 : 46  to : rosalinda resendez / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect , shirley crenshaw / hou / ect @ ect , bryan  seyfried / lon / ect @ ect  subject : re : credit . com cv ' s  rosie ,  we are making arrangements to bring them to houston for an  interview .  vince  rosalinda resendez  05 / 08 / 2000 11 : 10 am  to : vince j kaminski / hou / ect @ ect , shirley crenshaw / hou / ect @ ect  cc :  subject : credit . com cv ' s  vince ,  i ' ve been asked to forward these resumes to you .  rosie  - - - - - - - - - - - - - - - - - - - - - - forwarded by rosalinda resendez / hou / ect on 05 / 08 / 2000  11 : 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  louise  bratby  05 / 08 / 2000 10 : 11 am  to : rosalinda resendez / hou / ect @ ect  cc :  subject : credit . com cv ' s  rosalinda  i work with melanie doyle in london hr . i have two candidates who i ' m trying  to arrange ( for bryan seyfried ) to come in and see vince kaminski however i ' m  finding it difficult to co - ordinate from this end . would it be possible for  you to forward these cv ' s on to vince ' s assistant as i ' m not sure who the  correct person is .  thanks for your help and if you need more details my number is 44 20 7783  6945 .  regards  louise",0
"Subject: new pc with two 128 mb of ram  shirley ,  is this an upgrade for maureen ?  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 12 / 18 / 2000  03 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : felix buitron jr . / enron @ enronxgate on 12 / 18 / 2000 02 : 27 pm  to : vince j kaminski / hou / ect @ ect  cc : shirley crenshaw / hou / ect @ ect  subject : new pc with two 128 mb of ram  vince , i have your new pc . i will get with you when i ' m done to schedule a  delivery time . i will need your network and notes password to test your apps .  thanks ,  felix",0
"Subject: re : lawyer  sorry to hear this - i have generally shared my materials with colleagues  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : thursday , march 22 , 2001 6 : 21 am  to : macmilli @ wharton . upenn . edu  cc : vince . j . kaminski @ enron . com  subject : re : lawyer  ian ,  sorry for a delay in responding to you .  i am currently in london , flying back to houston tomorrow .  the problem is not with the lawyers . we worked on our presentation  materials together with a professor from another university  and we agreed to use these materials only internally .  we have to honor our commitment to him . i am sure  that this is exactly what you would have expected from us if we had  made a similar commitment to you .  vince  "" macmillan , ian "" on 03 / 21 / 2001 04 : 31 : 27 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : lawyer  what do i need to do to move this thing forward ?  i suspect that the problem is basically with the lawyers . they only know  how to stop things , but in a way they play a role in global society . if it  were not for the handicaps they lay on us the rest of the world would never  have a chance .  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com  to : macmilli @ wharton . upenn . edu  cc : vince . j . kaminski @ enron . com  sent : 3 / 8 / 01 12 : 12 pm  subject : re : lawyer  ian ,  sorry for a delay in getting back to you .  i have one challenge i did not anticipate  when i talked to you the first time about our real options  internal seminar .  the materials were prepared in collaboration with a professor  from another school , and there is some sensitivity regarding  the intellectual property rights and the ability to distribute the  materials  outside enron .  please , give me some time to find out if i can work  around this issue .  vince  "" macmillan , ian "" on 03 / 07 / 2001 06 : 46 : 28 am  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : lawyer  i still have not heard from your lawyer . i would like to see whar  materials you are using and assess how we could work on the topic of  real  options with enron",0
